fxx,cloud_top_hrrr,boundary_layer_cloud_layer,low_cloud_layer_percent_hrrr,middle_cloud_layer_percent_hrrr,high_cloud_layer_percent_hrrr,cloud_ceiling_m_hrrr,cloud_base_m_hrrr,cloud_top_pres_hrrr,cloud_base_pres_hrrr,cloud_top_hgt_hrrr,wind_10m_day_max_hrrr,tmp_500mb_hrrr,tmp_700mb_hrrr,tmp_850mb_hrrr,tmp_925mb_hrrr,tmp_1000mb_hrrr,hgt_500mb_hrrr,hgt_700mb_hrrr,hgt_850mb_hrrr,hgt_925mb_hrrr,hgt_1000mb_hrrr,tmp_2m_hrrr,rh_2m_hrrr,hpbl_surface_hrrr,hgt_0C_iso_hrrr,vis_surface_hrrr,prate_surface_hrrr,apcp_surface_hrrr,cloud_ceiling_gfs,low_cloud_layer_percent_gfs,middle_cloud_layer_percent_gfs,high_cloud_layer_percent_gfs,boundary_layer_cloud_layer_gfs,vis_surface_gfs,prate_surface_gfs,apcp_surface_gfs,tmp_500mb_gfs,tmp_700mb_gfs,tmp_850mb_gfs,tmp_925mb_gfs,tmp_1000mb_gfs,hgt_500mb_gfs,hgt_700mb_gfs,hgt_850mb_gfs,hgt_925mb_gfs,hgt_1000mb_gfs,tmp_2m_gfs,rh_2m_gfs,rh_925mb_gfs,hpbl_surface_gfs,hgt_0C_iso_gfs,cloud_ceiling_nam,low_cloud_layer_percent_nam,middle_cloud_layer_percent_nam,high_cloud_layer_percent_nam,boundary_layer_cloud_layer_nam,vis_surface_nam,tmp_500mb_nam,tmp_700mb_nam,tmp_850mb_nam,tmp_925mb_nam,tmp_1000mb_nam,hgt_500mb_nam,hgt_700mb_nam,hgt_850mb_nam,hgt_925mb_nam,hgt_1000mb_nam,tmp_2m_nam,rh_2m_nam,rh_925mb_nam,hpbl_surface_nam,hgt_0C_iso_nam,prate_surface_nam,apcp_surface_nam,cloud_ceiling_m_rap,low_cloud_layer_percent_rap,middle_cloud_layer_percent_rap,high_cloud_layer_percent_rap,boundary_layer_cloud_layer_rap,vis_surface_rap,tmp_500mb_rap,tmp_700mb_rap,tmp_850mb_rap,tmp_925mb_rap,tmp_1000mb_rap,hgt_500mb_rap,hgt_700mb_rap,hgt_850mb_rap,hgt_925mb_rap,hgt_1000mb_rap,tmp_2m_rap,rh_2m_rap,rh_925mb_rap,hpbl_surface_rap,hgt_0C_iso_rap,prate_surface_rap,apcp_surface_rap,hgt_500mb_ecmwf,hgt_700mb_ecmwf,hgt_850mb_ecmwf,hgt_925mb_ecmwf,hgt_1000mb_ecmwf,tmp_500mb_ecmwf,tmp_700mb_ecmwf,tmp_850mb_ecmwf,tmp_925mb_ecmwf,tmp_1000mb_ecmwf,rh_700mb_ecmwf,rh_850mb_ecmwf,rh_925mb_ecmwf,rh_1000mb_ecmwf,vvel_700mb_ecmwf,vvel_850mb_ecmwf,vvel_925mb_ecmwf,tmp_2m_ecmwf,dpt_2m_ecmwf,mslp_ecmwf,sp_surface_ecmwf,cape_ecmwf,tcwv_ecmwf,tcdc_surface_nbm,tcdc_high_cloud_nbm,cdcb_high_cloud_nbm,cloud_ceiling_m_nbm,cloud_base_m_nbm,vis_surface_nbm,ceil_prob_below_152m_nbm,ceil_prob_below_305m_nbm,ceil_prob_below_610m_nbm,ceil_prob_below_914m_nbm,ceil_prob_below_2012m_nbm,vis_prob_below_1609m_nbm,vis_prob_below_3219m_nbm,vis_prob_below_4828m_nbm,vis_prob_below_8047m_nbm,cape_surface_nbm,mixing_height_nbm,tmp_2m_nbm,dpt_2m_nbm,rh_2m_nbm,apcp_surface_nbm,wind_10m_nbm,gust_surface_nbm,is_undercast
1,-999.0,0.0,0.0,0.0,45.0,nan,1899.70068359375,nan,27700.0,nan,6.281491756439209,263.1168518066406,279.0787353515625,284.6934814453125,287.0208740234375,290.8858642578125,5812.158203125,3138.80322265625,1533.76806640625,,153.92404174804688,281.6824645996094,51.400001525878906,108.56169891357422,4166.59375,38200.0,0.0,0.0,19999.96484375,0.0,0.0,0.0,,24135.197265625,0.0,0.0,257.788330078125,272.51214599609375,277.1937255859375,281.1590881347656,282.2737121582031,5666.986328125,3050.66748046875,1486.5771484375,793.725341796875,146.03634643554688,281.90277099609375,96.9000015258789,78.19999694824219,58.56696319580078,2917.1201171875,20000.103515625,4.0,2.0,1.0,,24100.0,264.0,279.79998779296875,284.70001220703125,287.20001220703125,291.5,5817.15576171875,3140.5810546875,1533.2135009765625,824.5687866210938,166.72592163085938,283.5299987792969,64.80000305175781,65.0,72.31999969482422,4160.84326171875,0.0,0.0,nan,0.0,0.0,100.0,0.0,26000.0,263.2359313964844,279.2397155761719,284.2657775878906,286.75396728515625,290.55938720703125,5811.33251953125,3136.6943359375,1533.6890869140625,826.11376953125,157.8746337890625,283.7264709472656,67.0,59.277767181396484,134.0664520263672,4240.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,36.0,96.0,8682.0,88888.0,5936.0,16165.0,0.0,0.0,0.0,0.0,2.0,5.0,5.0,5.0,6.0,0.0,0.0,278.6299743652344,272.25,63.0,0.0,7.599999904632568,6.900000095367432,0
2,-999.0,0.0,0.0,0.0,80.0,nan,1363.5494384765625,nan,29900.0,nan,6.289093017578125,262.9447937011719,279.09564208984375,284.6656494140625,286.90179443359375,290.83355712890625,5813.0234375,3142.21337890625,1538.021240234375,,158.5898895263672,281.558837890625,48.900001525878906,119.88812255859375,4138.97998046875,40900.0,0.0,0.0,20000.044921875,2.5999999046325684,0.0,0.0,,24134.662109375,0.0,0.0,257.94000244140625,272.45306396484375,277.1826171875,280.95220947265625,281.86260986328125,5666.966796875,3048.69580078125,1485.0892333984375,792.48583984375,145.77769470214844,281.48944091796875,97.4000015258789,79.4000015258789,72.50851440429688,2915.360107421875,20000.052734375,4.0,3.0,0.0,,24100.0,263.3999938964844,280.20001220703125,285.0,287.29998779296875,291.6000061035156,5819.10302734375,3146.8388671875,1538.907470703125,830.2176513671875,173.0186309814453,282.4100036621094,91.80000305175781,64.0,146.72000122070312,4096.9599609375,0.0,0.0,9780.248046875,0.0,0.0,100.0,0.0,26200.0,262.8976135253906,279.31890869140625,284.17913818359375,286.5014343261719,290.2145080566406,5816.07568359375,3145.12939453125,1542.7265625,835.5069580078125,167.40618896484375,283.5509948730469,66.04336547851562,58.812469482421875,186.37545776367188,4164.14453125,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,36.0,92.0,8210.0,88888.0,4216.0,16274.0,1.0,1.0,1.0,1.0,2.0,9.0,9.0,9.0,10.0,0.0,0.0,278.41998291015625,271.6499938964844,61.0,0.0,7.599999904632568,7.199999809265137,0
3,-999.0,0.0,0.0,0.0,88.0,nan,1327.5323486328125,nan,30000.0,nan,5.816716194152832,262.6571350097656,279.22796630859375,284.7222900390625,287.04315185546875,290.8977966308594,5806.6640625,3139.62353515625,1534.6292724609375,,155.013427734375,281.7135314941406,42.900001525878906,134.58128356933594,4097.17431640625,47100.0,0.0,0.0,20000.021484375,0.699999988079071,0.0,0.0,,24135.05078125,0.0,0.0,257.9765625,272.6640930175781,277.12310791015625,280.7032775878906,281.52410888671875,5668.2919921875,3047.8330078125,1484.3192138671875,792.2003173828125,146.25425720214844,281.1000061035156,97.19999694824219,79.5,61.251277923583984,2936.639892578125,9794.4560546875,5.0,17.0,66.0,,24100.0,262.8999938964844,280.20001220703125,285.29998779296875,286.79998779296875,291.0,5822.068359375,3154.7890625,1546.2882080078125,838.1614379882812,181.03424072265625,283.1600036621094,75.19999694824219,58.0,72.31999969482422,4037.60009765625,0.0,0.0,9497.34375,0.0,0.0,100.0,0.0,23200.0,262.53656005859375,279.47564697265625,284.3653564453125,286.3714904785156,289.8622131347656,5821.8935546875,3155.205322265625,1551.5235595703125,844.0537719726562,176.44851684570312,282.9396667480469,70.04336547851562,57.82159423828125,129.17355346679688,4090.0,0.0,0.0,5819.41796875,3150.9384765625,1543.5263671875,835.8934326171875,177.165771484375,262.8719177246094,280.1911315917969,283.66204833984375,286.51513671875,291.2210693359375,15.07131576538086,37.766048431396484,56.22552490234375,79.03462219238281,0.11212539672851562,0.396728515625,0.28203582763671875,282.75189208984375,278.25189208984375,102125.8125,92463.421875,0.0,11.374558448791504,47.0,94.0,8204.0,88888.0,3320.0,16274.0,4.0,4.0,4.0,5.0,6.0,15.0,15.0,15.0,15.0,0.0,0.0,278.8399963378906,271.95001220703125,61.0,0.0,8.0,7.199999809265137,0
4,-999.0,0.0,0.0,0.0,100.0,nan,1218.7943115234375,nan,30500.0,nan,5.6381940841674805,262.124267578125,279.3398742675781,284.85986328125,287.113037109375,291.0184326171875,5814.693359375,3150.35498046875,1543.521728515625,,163.91436767578125,282.2159423828125,41.0,114.95359802246094,4076.140625,49300.0,0.0,0.0,20000.025390625,0.0,0.0,0.0,,24134.859375,0.0,0.0,258.1434326171875,272.6974182128906,277.04730224609375,280.44964599609375,281.3822326660156,5670.1591796875,3047.650634765625,1484.55078125,792.8086547851562,147.49728393554688,280.8472595214844,96.5999984741211,78.30000305175781,37.61137390136719,2917.760009765625,9786.7275390625,5.0,7.0,75.0,,24100.0,262.3999938964844,280.20001220703125,285.1000061035156,287.20001220703125,291.5,5818.9228515625,3155.652099609375,1546.7613525390625,838.1394653320312,181.46302795410156,283.4200134277344,63.29999923706055,48.0,72.31999969482422,3991.0400390625,0.0,0.0,9010.125,0.0,0.0,100.0,0.0,23400.0,262.15582275390625,279.3885498046875,284.3031311035156,286.3069763183594,289.5146484375,5816.0478515625,3153.15576171875,1548.97509765625,841.4125366210938,174.02951049804688,282.5758056640625,69.0,54.848358154296875,111.92984008789062,4030.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,52.0,93.0,7698.0,88886.0,3488.0,402.0,4.0,4.0,4.0,4.0,4.0,18.0,18.0,18.0,19.0,0.0,0.0,278.9900207519531,271.69000244140625,59.0,1.0,7.599999904632568,6.800000190734863,0
5,-999.0,0.0,0.0,0.0,100.0,9053.359375,806.4579467773438,26800.0,32400.0,11043.525390625,5.589757442474365,261.5909423828125,279.38525390625,284.69049072265625,287.03118896484375,290.898193359375,5818.3681640625,3157.4052734375,1550.244384765625,,170.95950317382812,281.808349609375,44.400001525878906,117.62550354003906,4051.013671875,45400.0,0.0,0.0,20000.072265625,0.0,0.0,0.0,,24134.86328125,0.0,0.0,258.2504577636719,272.8750915527344,277.03875732421875,280.234619140625,281.182861328125,5672.1787109375,3048.270263671875,1484.1824951171875,792.7066040039062,147.9405059814453,280.55206298828125,95.5999984741211,78.5,24.70250129699707,2968.9599609375,9155.0361328125,7.0,0.0,63.0,,24100.0,261.8999938964844,280.3999938964844,284.8999938964844,287.20001220703125,291.5,5817.24267578125,3156.456298828125,1546.4827880859375,838.2040405273438,181.77206420898438,283.3399963378906,64.19999694824219,48.0,72.31999969482422,3963.52001953125,0.0,0.0,8937.3427734375,0.0,0.0,100.0,0.0,23900.0,261.54656982421875,279.3572998046875,284.4544677734375,286.3661193847656,289.37994384765625,5811.6376953125,3152.43994140625,1546.6175537109375,838.7704467773438,171.62770080566406,282.4916687011719,68.453369140625,54.465797424316406,103.66841125488281,3980.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,50.0,89.0,7698.0,88888.0,3368.0,402.0,2.0,2.0,2.0,2.0,3.0,23.0,23.0,23.0,24.0,0.0,0.0,279.1499938964844,271.33001708984375,57.0,3.0,7.199999809265137,6.800000190734863,0
6,-999.0,0.0,0.0,0.0,100.0,nan,707.2105712890625,nan,32800.0,nan,5.342155456542969,261.1440124511719,279.21270751953125,284.57659912109375,286.9897155761719,290.8326110839844,5812.517578125,3155.21728515625,1548.16552734375,,169.2101287841797,281.8781433105469,43.5,136.4293975830078,4010.080078125,46500.0,0.0,0.0,19999.833984375,0.0,0.0,0.0,,24135.13671875,0.0,0.0,258.3116455078125,272.965087890625,277.2774353027344,280.04327392578125,280.9660949707031,5675.681640625,3051.071533203125,1485.762939453125,794.49755859375,150.33018493652344,280.23748779296875,94.0999984741211,74.19999694824219,21.15353775024414,3007.52001953125,19999.8125,8.0,0.0,23.0,,24100.0,261.5,280.20001220703125,284.70001220703125,287.1000061035156,291.3999938964844,5817.16162109375,3158.775390625,1549.02734375,840.9620971679688,184.63047790527344,283.469970703125,60.900001525878906,46.0,72.4000015258789,3941.280029296875,0.0,0.0,nan,0.0,1.0,100.0,0.0,24800.0,261.04827880859375,279.2066650390625,284.62176513671875,286.4264831542969,289.44842529296875,5800.091796875,3144.6044921875,1537.2337646484375,829.0576171875,162.08477783203125,282.3927001953125,67.41105651855469,54.56870651245117,95.14520263671875,3940.0,0.0,0.0,5817.67578125,3158.290771484375,1547.4912109375,840.8927001953125,182.699951171875,261.42657470703125,279.3504333496094,283.41436767578125,286.2357177734375,290.89569091796875,29.19902992248535,43.79277801513672,59.70098876953125,77.80500793457031,-0.08263969421386719,0.16425514221191406,0.21049213409423828,281.7596435546875,277.9783935546875,102183.1875,92506.8671875,0.0,13.305339813232422,51.0,80.0,7692.0,88888.0,2536.0,402.0,0.0,0.0,0.0,0.0,2.0,27.0,27.0,27.0,27.0,0.0,0.0,279.09002685546875,270.8699951171875,56.0,3.0,7.199999809265137,6.400000095367432,0
7,-999.0,0.0,0.0,0.0,100.0,9235.4638671875,409.072998046875,nan,34200.0,10000.380859375,3.8498823642730713,260.75579833984375,279.03668212890625,284.616455078125,287.069580078125,290.93804931640625,5813.02490234375,3159.1552734375,1551.41455078125,,172.51625061035156,281.54254150390625,45.70000076293945,99.2197036743164,3981.760009765625,44200.0,0.0,0.0,19999.81640625,0.0,0.0,0.0,,24135.11328125,0.0,0.0,258.5339050292969,272.89447021484375,277.5421142578125,279.9282531738281,281.3529052734375,5680.95068359375,3054.9013671875,1488.898681640625,797.8772583007812,154.36575317382812,281.42742919921875,85.30000305175781,63.5,101.52146911621094,2992.47998046875,20000.09765625,9.0,1.0,14.0,,24100.0,261.1000061035156,280.1000061035156,284.1000061035156,287.0,291.29998779296875,5812.04931640625,3156.30615234375,1548.463623046875,840.8320922851562,184.6808319091797,283.25,53.20000076293945,48.0,72.4000015258789,3923.679931640625,0.0,0.0,nan,0.0,20.0,100.0,0.0,25200.0,260.57666015625,279.0706787109375,284.8622131347656,286.705322265625,289.59979248046875,5809.44189453125,3157.370361328125,1548.6336669921875,839.8275146484375,173.1839599609375,282.5476989746094,66.28590393066406,53.001346588134766,75.61299133300781,3930.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,52.0,0.0,7620.0,88888.0,4480.0,209.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,32.0,32.0,0.0,0.0,279.16998291015625,271.0,55.0,2.0,6.400000095367432,6.0,0
8,-999.0,0.0,0.0,3.0,100.0,nan,400.43731689453125,nan,34300.0,nan,3.147754669189453,260.38824462890625,278.9807434082031,284.8194885253906,287.196044921875,291.12115478515625,5812.140625,3161.325927734375,1552.550048828125,,173.5493621826172,282.6462707519531,38.900001525878906,106.23300170898438,3948.47998046875,50300.0,0.0,0.0,20000.11328125,0.0,0.0,0.0,,24134.916015625,0.0,0.0,258.7625427246094,272.8900451660156,277.6622314453125,279.7530517578125,283.2601318359375,5686.51171875,3058.7353515625,1491.8331298828125,801.0880737304688,157.46774291992188,283.97576904296875,69.30000305175781,61.900001525878906,272.361328125,2985.1201171875,19999.966796875,6.0,11.0,11.0,,24100.0,260.70001220703125,280.0,283.79998779296875,287.0,291.29998779296875,5807.4658203125,3154.049560546875,1546.4866943359375,839.0582885742188,183.32579040527344,283.1299743652344,51.70000076293945,50.0,72.4000015258789,3908.639892578125,0.0,0.0,nan,0.0,64.0,100.0,0.0,27700.0,260.3842468261719,278.81732177734375,284.928955078125,286.9075927734375,289.88446044921875,5814.310546875,3165.013671875,1555.8839111328125,846.7738037109375,180.47360229492188,283.0802307128906,63.38340377807617,50.498172760009766,59.465755462646484,3910.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,44.0,0.0,7620.0,88888.0,2304.0,209.0,0.0,0.0,0.0,0.0,0.0,38.0,38.0,38.0,38.0,0.0,0.0,279.40997314453125,270.97998046875,56.0,0.0,5.599999904632568,5.599999904632568,0
9,-999.0,0.0,0.0,4.0,100.0,nan,387.3921203613281,nan,34300.0,nan,2.675300121307373,260.0760498046875,278.7333679199219,284.742919921875,287.3425598144531,291.2471008300781,5808.3544921875,3160.12158203125,1552.3399658203125,,173.5131072998047,281.3382568359375,47.5,72.45142364501953,3913.280029296875,42300.0,0.0,0.0,20000.076171875,0.0,0.0,0.0,,24134.83203125,0.0,0.0,258.8900146484375,273.286376953125,277.75714111328125,279.58795166015625,284.8550109863281,5692.2685546875,3063.00732421875,1494.2769775390625,803.5551147460938,158.86903381347656,286.0543518066406,58.0,66.9000015258789,573.9025268554688,3106.080078125,19999.974609375,5.0,6.0,0.0,,24100.0,260.79998779296875,279.8999938964844,284.1000061035156,287.1000061035156,291.3999938964844,5810.49560546875,3158.22314453125,1549.7403564453125,842.122314453125,186.25152587890625,283.010009765625,53.5,50.0,36.0,3896.9599609375,0.0,0.0,nan,0.0,23.0,100.0,0.0,29300.0,260.3873291015625,278.68975830078125,284.66925048828125,286.94879150390625,290.0224914550781,5805.06298828125,3156.73046875,1547.9200439453125,839.2325439453125,173.14041137695312,282.96978759765625,61.31550979614258,49.466949462890625,66.82221984863281,3900.0,0.0,0.0,5813.0625,3161.98095703125,1553.675537109375,845.3587646484375,186.70654296875,261.1697998046875,278.6263122558594,284.11273193359375,286.51629638671875,291.4439392089844,32.97557830810547,41.275123596191406,57.756324768066406,77.10250091552734,-0.2041606903076172,0.029593467712402344,0.1363964080810547,283.366943359375,277.83441162109375,102231.625,92562.625,0.0,13.395585060119629,49.0,85.0,7684.0,88888.0,2256.0,209.0,0.0,0.0,0.0,0.0,0.0,39.0,39.0,39.0,39.0,0.0,0.0,279.3599853515625,270.42999267578125,53.0,0.0,5.199999809265137,5.199999809265137,0
10,-999.0,0.0,0.0,7.0,100.0,10755.6728515625,409.7878723144531,nan,34200.0,11823.4345703125,2.833674430847168,259.84228515625,278.44189453125,284.8895263671875,287.35968017578125,291.1946716308594,5805.728515625,3159.83251953125,1552.6226806640625,,174.27590942382812,281.1933288574219,47.5,54.022377014160156,3884.159912109375,42200.0,0.0,0.0,20000.111328125,0.0,0.0,0.0,,24134.7890625,0.0,0.0,259.0224304199219,273.9631042480469,277.93316650390625,279.6739196777344,286.16064453125,5697.50732421875,3065.596435546875,1494.2125244140625,803.8215942382812,156.9464111328125,287.540283203125,51.79999923706055,73.5999984741211,859.90673828125,3257.760009765625,20000.0234375,3.0,13.0,5.0,,24100.0,260.3999938964844,279.70001220703125,284.0,287.6000061035156,291.8999938964844,5811.19189453125,3161.281494140625,1554.279541015625,845.8999633789062,190.82069396972656,282.8999938964844,53.099998474121094,47.0,36.0,3870.39990234375,0.0,0.0,nan,0.0,11.0,100.0,0.0,32300.0,260.0714416503906,278.67034912109375,284.3467102050781,286.78533935546875,289.9164733886719,5808.57275390625,3161.408935546875,1553.1617431640625,845.1802978515625,179.314453125,282.93597412109375,56.97251510620117,48.84013366699219,117.97356414794922,3890.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,57.0,0.0,7620.0,88888.0,2864.0,209.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,42.0,42.0,0.0,0.0,279.40997314453125,270.239990234375,52.0,0.0,4.400000095367432,4.800000190734863,0
