Date,Short Date,Tower,Observatory,Avg
"Friday, August 22, 2025",8/22/25,0,0,0
"Saturday, August 23, 2025",8/23/25,0,0,0
"Sunday, August 24, 2025",8/24/25,0,0,0
"Monday, August 25, 2025",8/25/25,0,0,0
"Tuesday, August 26, 2025",8/26/25,0,0,0
"Wednesday, August 27, 2025",8/27/25,0,0,0
"Thursday, August 28, 2025",8/28/25,0,0,0
"Friday, August 29, 2025",8/29/25,0,0,0
"Saturday, August 30, 2025",8/30/25,0,0,0
"Sunday, August 31, 2025",8/31/25,0,0,0
"Monday, September 1, 2025",9/1/25,0,0,0
"Tuesday, September 2, 2025",9/2/25,0,0,0
"Wednesday, September 3, 2025",9/3/25,0,0,0
"Thursday, September 4, 2025",9/4/25,0,0,0
"Friday, September 5, 2025",9/5/25,0,0,0
"Saturday, September 6, 2025",9/6/25,0,0,0
"Sunday, September 7, 2025",9/7/25,0,0,0
"Monday, September 8, 2025",9/8/25,0,0,0
"Tuesday, September 9, 2025",9/9/25,0,0,0
"Wednesday, September 10, 2025",9/10/25,0,0,0
"Thursday, September 11, 2025",9/11/25,0,0,0
"Friday, September 12, 2025",9/12/25,0,0,0
"Saturday, September 13, 2025",9/13/25,0,0,0
"Sunday, September 14, 2025",9/14/25,0,0,0
"Monday, September 15, 2025",9/15/25,0,0,0
"Tuesday, September 16, 2025",9/16/25,0,0,0
"Wednesday, September 17, 2025",9/17/25,0,0,0
"Thursday, September 18, 2025",9/18/25,0,0,0
"Friday, September 19, 2025",9/19/25,0,0,0
"Saturday, September 20, 2025",9/20/25,0,0,0
"Sunday, September 21, 2025",9/21/25,0,0,0
"Monday, September 22, 2025",9/22/25,0,0,0
"Tuesday, September 23, 2025",9/23/25,0,0,0
"Wednesday, September 24, 2025",9/24/25,0,0,0
"Thursday, September 25, 2025",9/25/25,0,0,0
"Friday, September 26, 2025",9/26/25,0,0,0
"Saturday, September 27, 2025",9/27/25,0,0,0
"Sunday, September 28, 2025",9/28/25,0,0,0
"Monday, September 29, 2025",9/29/25,0,0,0
"Tuesday, September 30, 2025",9/30/25,0,0,0
"Wednesday, October 1, 2025",10/1/25,0,0.5,0.25
"Thursday, October 2, 2025",10/2/25,0,0,0
"Friday, October 3, 2025",10/3/25,0,0,0
"Saturday, October 4, 2025",10/4/25,0,0,0
"Sunday, October 5, 2025",10/5/25,0,0,0
"Monday, October 6, 2025",10/6/25,0,0,0
"Tuesday, October 7, 2025",10/7/25,0,0,0
"Wednesday, October 8, 2025",10/8/25,0,0.5,0.25
"Thursday, October 9, 2025",10/9/25,0,0,0
"Friday, October 10, 2025",10/10/25,0,0,0
