valid_utc,split,label,year,month,hour_utc,max_cover,tops_ft,depth_below_ft,vis_sm,overhead_ceiling_ft,overhead_lowest_ft
2014-08-01T02:50,train,clear,2014,8,2,,,,0.062,,
2014-08-01T07:53,train,clear,2014,8,7,,,,0.062,0,0
2014-08-03T07:55,train,clear,2014,8,7,,,,25,7500,7500
2014-08-04T02:55,train,clear,2014,8,2,SCT,4500,1788,15,12000,7000
2014-08-05T13:48,train,clear,2014,8,13,BKN,5000,1288,0.25,0,0
2014-08-07T13:50,train,clear,2014,8,13,,,,0,,
2014-08-08T02:50,train,clear,2014,8,2,,,,0,,
2014-08-09T13:53,train,clear,2014,8,13,,,,85,12000,12000
2014-08-10T07:50,train,clear,2014,8,7,,,,40,,18000
2014-08-10T12:51,train,clear,2014,8,12,,,,50,15000,3000
2014-08-12T13:52,train,clear,2014,8,13,,,,0.062,,
2014-08-13T12:47,train,clear,2014,8,12,,,,0,,
2014-08-14T12:53,train,clear,2014,8,12,,,,0.062,,
2014-08-15T02:57,train,clear,2014,8,2,,,,100,2500,1000
2014-08-17T12:49,train,clear,2014,8,12,,,,0,,
2014-08-20T12:55,train,clear,2014,8,12,,,,90,,20000
2014-08-22T02:53,train,clear,2014,8,2,,,,35,1400,1000
2014-08-23T07:50,train,undercast,2014,8,7,BKN,3000,3288,90,,2000
2014-08-26T13:49,train,clear,2014,8,13,,,,40,,300
2014-08-27T07:53,train,clear,2014,8,7,,,,0,,
2014-08-29T07:50,train,clear,2014,8,7,,,,0.062,,
2014-08-29T12:56,train,undercast,2014,8,12,BKN,4500,1788,100,,18000
2014-08-29T13:56,train,undercast,2014,8,13,BKN,5000,1288,120,,
2014-08-30T02:57,train,undercast,2014,8,2,BKN,5700,588,100,,5000
2014-09-01T07:52,train,clear,2014,9,7,,,,0,,
2014-09-01T08:52,train,clear,2014,9,8,,,,0,,
2014-09-01T10:52,train,clear,2014,9,10,,,,0,,
2014-09-01T11:49,train,clear,2014,9,11,,,,0,,
2014-09-01T13:50,train,clear,2014,9,13,,,,0,,
2014-09-01T14:49,train,clear,2014,9,14,,,,0.062,,
2014-09-01T15:52,train,clear,2014,9,15,,,,0.062,,
2014-09-01T16:49,train,clear,2014,9,16,,,,0.125,,
2014-09-01T23:53,train,clear,2014,9,23,,,,0.125,,0
2014-09-02T08:51,train,clear,2014,9,8,,,,0,,
